rank,code,name,location,detected_by,importance,importance_median,dominant_category,dominant_share,breadth,importance_climate,datasets_driven_climate,direct_consumers,blocks_our_rebuilds,evidence,rebuilt_route,rebuilt_co2_ratio,recommendation,top_climate_dependants,imp_climate_change,imp_acidification,imp_ef_particulate_matter,imp_ecotoxicity_freshwater,imp_eutrophication_marine,imp_eutrophication_freshwater,imp_eutrophication_terrestrial,imp_human_toxicity_cancer,imp_human_toxicity_non_cancer,imp_ionising_radiation_human_health,imp_land_use,imp_ozone_depletion,imp_photochemical_ozone_formation_human_health,imp_resource_use_fossils,imp_resource_use_minerals_and_metals,imp_water_use,rank_median,rank_climate
58,e33af7c7-9f40-3d65-8238-14602389c1a1,"Washing machine, at retailer",CH,flag,0.409,0.391,"Resource use, minerals and metals",0.11,0,0.322,1,4,0,no-pdf,,,"expert, no report","EKG I, sanitary facilities, residental building, construction (22%); Office, complex sanitary installation, incl. appliances and pipes, construction (3%); EKG I, sanitary facilities, office building, construction (3%)",0.322,0.535,0.173,0.229,0.386,0.555,0.658,0.404,0.554,0.395,0.358,0.539,0.349,0.281,0.695,0.118,56,61
59,d8ec4be3-c410-3806-98f5-a2ec5a284fee,"Burnt shale, at plant",DE,flag,0.382,0.186,"Resource use, fossils",0.22,1,0.873,0,1,0,drafted,S1,0.99,rebuilt: review and adopt,"CEM II, B cement, at plant (4%); Concrete for drilled piles, CEM II, B, NPK I (P2), 66% RC-C, at plant (4%); Concrete for drilled piles, CEM II, B, NPK H (P1), 66% RC-C, at plant (4%)",0.873,0.996,0.657,0.276,0.601,0.013,0.582,0.022,0.017,0.009,0.035,0.095,0.513,1.363,0.026,0.036,62,49
60,9cd9d57f-0df0-3a2c-bb24-c50f0a1b2286,"Nylon 66, at plant",RER,structure,0.332,0.252,Eutrophication marine,0.17,0,0.7,1,10,0,pages-not-found,S3,0.54,rebuilt: expert revision,"Connector, PCI bus, at plant (13%); Battery, LiIo, rechargeable, prismatic,LiFePO4 (3%); Battery, rechargeable, prismatic, LiNCM, at plant (3%)",0.7,0.43,0.625,0.103,0.919,0.033,0.509,0.044,0.013,0.001,0.001,0.001,0.4,0.793,0.005,0.739,59,54
61,2b89ce00-c1f2-3e3e-b822-550b42aa88c2,"Pentane, at plant",RER,structure,0.331,0.08,"Resource use, fossils",0.26,1,0.445,1,4,1,pages-not-found,,,"expert, with report","2-methyl-2-butanol, at plant (28%); Polyurethane, rigid foam, at plant (1%); Polyurethane, rigid foam, market mix, at regional storage (1%)",0.445,0.654,0.716,0.014,0.595,0.026,0.637,0.066,0.093,0.002,0.001,0.001,0.652,1.365,0.001,0.029,65,58
62,7fa67971-6cbc-3549-9ef2-f518ff87e652,"Feldspar, at plant",RER,flag,0.325,0.282,Ozone depletion,0.23,1,0.283,0,15,3,pages-not-found,,,"expert, with report","Mineral filler, for asphalt concrete production, at plant (8%); Anhydrite from hydrofluoric acid synthesis, at plant (3%); Ceramic tiles, at regional storage (2%)",0.283,0.359,0.433,0.15,0.488,0.149,0.463,0.089,0.117,0.228,0.149,1.223,0.348,0.282,0.079,0.365,58,62
63,09913ea6-df42-3720-8981-e46d587a30d8,"Polymethyl methacrylate, sheet, at plant",RER,structure,0.322,0.201,"Resource use, fossils",0.18,0,0.845,1,4,0,pages-not-found,S3,0.8,rebuilt: review and adopt,"Backlight, LCD screen, at plant (64%); LCD module, at plant (6%); LCD flat screen, 17 inches, at plant (3%)",0.845,0.665,0.786,0.198,0.347,0.075,0.347,0.075,0.011,0.007,0.003,0.01,0.619,0.923,0.035,0.204,60,50
64,291b03c4-2679-3b22-afb9-60c0228619f2,"Methyl methacrylate, at plant",RER,structure,0.317,0.404,Acidification,0.12,0,0.48,1,1,0,pages-not-found,S3,0.52,rebuilt: expert revision,"Sink, granite-acrylresin, at plant (48%)",0.48,0.604,0.529,0.363,0.474,0.142,0.445,0.19,0.136,0.003,0.001,0.001,0.542,0.495,0.461,0.213,55,56
65,be501b1b-8393-3760-8658-39e93bcd6934,"Wood preservative, inorganic salt, containing Cr, at plant",RER,flag,0.254,0.086,"Human toxicity, cancer",0.47,1,0.048,0,2,0,drafted,S3,0.07,rebuilt: expert revision,,0.048,0.142,0.1,0.152,0.056,0.228,0.072,1.907,0.188,0.024,0.012,0.177,0.052,0.032,0.852,0.023,64,69
66,df878822-0deb-3a59-a6b4-396d94a3b654,"Polyethylene, LLDPE, granulate, at plant",RER,flag,0.131,0.095,"Resource use, fossils",0.22,0,0.261,0,6,0,pages-not-found,S3,0.82,rebuilt: review and adopt,Heat pump 10 kW production for air source heat pump system (6%); Heat pump 10 kW production for water source heat pump system (5%); Heat pump 10 kW production for ground source heat pump system (4%),0.261,0.13,0.178,0.351,0.149,0.019,0.13,0.023,0.026,0.031,0.032,0.059,0.174,0.459,0.026,0.051,63,63
67,a1d7a889-ea1b-3f62-b741-f16ed300f920,"Naphtha, APME mix, at refinery",RER,structure,0.115,0.007,"Resource use, fossils",0.44,0,0.123,0,24,0,pages-not-found,S2,1.35,rebuilt: expert revision,"Modified starch, at plant (6%); xx Napropamide, at regional storage (2%)",0.123,0.148,0.227,0.004,0.093,0.004,0.173,0.008,0.007,0.001,0.0,0.0,0.24,0.804,0.0,0.002,72,64
68,0a1033cd-0bf1-3ee9-8942-87d11f4b5b76,"Carbon tetrachloride, at plant",RER,structure,0.098,0.077,EF-particulate Matter,0.2,0,0.075,0,8,0,pages-not-found,,,"expert, with report","Pyretroid-compounds, at regional storehouse (3%); Pyretroid-compounds, at regional storehouse (3%); xx Insecticides, at regional storehouse (1%)",0.075,0.192,0.321,0.037,0.163,0.009,0.213,0.015,0.193,0.0,0.001,0.0,0.146,0.079,0.004,0.126,67,66
69,7efdfea7-aedf-3844-b47e-1b07ea02dae7,"Sodium perborate, tetrahydrate, powder, at plant",RER,flag,0.062,0.048,Ozone depletion,0.16,0,0.045,0,2,0,pages-not-found,,,"expert, with report","Ceramic tiles, at regional storage (1%)",0.045,0.058,0.04,0.032,0.04,0.093,0.04,0.075,0.05,0.082,0.023,0.155,0.034,0.055,0.027,0.147,68,70
70,c7af8832-9551-38fd-a628-363e6fc17c8e,"Polyethylene terephthalate, granulate, bottle grade, at plant",RER,flag,0.054,0.047,"Resource use, fossils",0.17,0,0.092,0,1,0,pages-not-found,S2,0.97,rebuilt: review and adopt,"Inkjet cartridge, at plant (9%)",0.092,0.095,0.101,0.094,0.062,0.007,0.088,0.018,0.031,0.015,0.0,0.001,0.086,0.15,0.001,0.024,69,65
71,daf2331c-b983-3d66-a43d-676900fd0d36,"Zeolite, slurry, 50% in H2O, at plant",RER,flag,0.038,0.037,Ozone depletion,0.15,0,0.035,0,4,0,pages-not-found,,,"expert, with report",,0.035,0.037,0.035,0.042,0.036,0.022,0.04,0.041,0.037,0.053,0.015,0.091,0.032,0.044,0.02,0.023,70,71
72,61383306-1d5d-3a54-8ef2-bc147f1af68b,"Styrene-acrylonitrile copolymer, SAN, at plant",RER,structure,0.027,0.026,"Resource use, fossils",0.2,0,0.069,0,4,0,pages-not-found,S3,1.14,rebuilt: review and adopt,"CRT screen, 17 inches, at plant (2%)",0.069,0.026,0.054,0.028,0.038,0.002,0.036,0.005,0.003,0.002,0.001,0.001,0.048,0.086,0.0,0.026,71,68
73,4b4cdbb7-1edb-3e1c-a7c0-53a5bb19d516,"Aluminium profile, uncoated, Hydro Building Systems, Circal, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,73
74,870170e5-b0d0-366a-9834-36a087cbff08,Assembled formwork,CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,74
75,9ce2128d-aab2-3a73-9b1d-a9c69d037fe2,"Basalt, Flumroc, at mine",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,75
76,6cb6413f-4964-3e85-9d89-52de95510ec5,"Brick, filled with perlite, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,76
77,18a506a4-5e50-30a7-90c5-ed4132eb7937,"Briquette, Flumroc, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,77
78,bec8f889-cb7d-3f89-b202-b210c324c37e,"Cellular glass aggregate Misapor, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,78
79,c3490cfc-bcf2-38a2-a8c1-2d50ba65c83e,"Cement ZN, D, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,drafted,S3,1.16,rebuilt: review and adopt,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,79
80,3b6d410c-d17d-38b4-a565-03563970a936,"Cross-laminted timber, PUR-bonded, packed, at plant, with resource correction",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,80
81,6860a668-cc63-365e-a3c8-8ac94ccfbbd9,"Disposal, brick, filled with perlite",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,81
82,c329609f-2f6e-34d1-9e38-3c8af2b43a09,"Disposal, building, window frame, aluminium, Wicline 75evo",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,82
83,d194cc0d-c3f6-49e9-9694-edbc775d3d58,"Disposal, building, window frame, wood, opaquely painted, Baumgartner, wall opening, to final disposal",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,83
84,e07cc654-6748-44cc-95bd-6c197a919a64,"Disposal, building, window frame, wood-metal, opaquely painted, Baumgartner, wall opening, to final disposal",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,84
85,b3520083-2e0d-3af9-92ab-37a107aefad2,"Disposal, flax insulation",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,85
86,ed5c2271-7ad0-35a8-b6fd-b84e2a130f4d,"Disposal, hemp lime concrete",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,86
87,0e5b1b3f-e47a-31e0-b204-9fc58e3e7120,"Disposal, rammed earth wall",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,87
88,241477dc-65fc-319a-80d3-37090983f81a,"Disposal, rock wool, Flumroc, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,88
89,cbf206bd-8545-3972-bdb7-4539d8fff72d,Fireproof product,BE,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,89
90,615007ea-c23a-3883-87e0-c70a80cb15ea,Fireproofed flax tows from scutching,BE,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,90
91,0ed161a7-0fe7-35eb-8a90-ab50a100ac7d,"Fireproofed jute fibers, recycled",BE,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,91
92,a40c841b-2f93-3356-bbc3-c7e80c32e8b2,"Flax culture, flax seeds",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,92
93,ccf251da-b0ba-3978-a393-ff59629e8732,"Flax culture, flax straw",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,93
94,3f7a8f51-30be-33fb-8062-8bcdfe305833,"Flax insulation, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,94
95,1dde3a89-6123-3c70-aebd-25d06f726f26,"Flax insulation, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,95
96,63edaf72-6c34-3461-bcfd-c06dd52a8fec,"Flax insulation, fireproofed, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,96
97,1b03f99a-a91c-32a3-8c0b-a58031ec781f,"Flax insulation, fireproofed, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,97
98,c493e480-fb99-3ea8-b9d9-bb15a9cd76d1,"Flax straw scutching, long fibers",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,98
99,37bd8a07-89d4-3f9d-8fb9-eaf7c74c2b5a,"Flax straw scutching, seeds for fodder",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99
100,f4eff67a-49f5-3c1d-bd6e-711e0cad54f5,"Flax straw scutching, shives",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100
101,7cd79b1c-82eb-3ed3-bbce-d72c0ed09f79,"Flax straw scutching, tows from scutching",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,101
102,a05e1447-7685-3530-827e-fe68feefb234,"Glass wool mat, bio-based binder ISOVER, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,pages-not-found,,,"expert, with report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,102
103,29e55a65-0712-3810-850e-0bf7e902b6f9,"Glass wool, Supafil, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,103
104,15a37765-e179-30c4-9256-6c8f951b530f,"Hemp culture, hemp seeds",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,104
105,59b63f91-98d6-3cb4-9d30-ecb7a381bfc2,"Hemp culture, hemp straw",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,105
106,b6c4df10-70fb-3247-86e8-062d5c9a1934,"Hemp lime concrete, at building site",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,106
107,64e926e8-dd48-3704-b902-daaf546087c4,"Hemp lime concrete, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,107
108,f33d1ed4-123b-3d4c-a52d-1482f7ab1117,"Hemp straw scutching, dusts",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,108
109,8e2c534d-a7df-3c27-bdc7-7aa413cb8d6e,"Hemp straw scutching, fibers",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,109
110,4837f31d-4e9b-37c7-8965-3ec5f35228fd,"Hemp straw scutching, hurds",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,110
111,b63735ed-5fe7-3b2a-9552-ae0269a2125c,"Jute fibers, recycled",FR,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,111
112,67a9453e-aca5-304a-83b0-f9e4bef2c44a,"Production, washing machine, V-ZUG",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,112
113,dab0fa22-ba8d-34a9-b594-c980886b0b14,"Pyrolysis gasoline, production mix, at plant",RER,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,1,pages-not-found,,,"expert, with report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,113
114,62f1ccfe-ee89-3659-b721-87c3f20f11ac,"Rammed earth wall, at building site",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,114
115,c0b6a4f8-9148-3d78-b9c7-5992f47e0e10,"Rammed earth wall, earth extraction",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,115
116,1dffb1b6-8264-3d87-960f-29b4c3c1e20b,"Rectangular straw bale, baling and loading bales",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,116
117,d08fb1ff-df78-3970-a21e-d13261fe9fac,"Rectangular straw bale, straw cultivation",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,117
118,52078a01-3225-3d5e-b2b3-eca820457f2e,"Rock wool, Flumroc, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,118
119,5251f6da-beee-3027-9754-fa56fc94c7c6,"Rock wool, Flumroc, import, at plant",RER,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,119
120,99ff12a4-23dd-36aa-a1e3-49e3a954539b,"Rock wool, Flumroc, packed, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,120
121,475c916f-6080-33fb-ab55-6370a4c5fdb0,"Sodium perborate, monohydrate, powder, at plant",RER,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,pages-not-found,,,"expert, with report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,121
122,33c61a93-f37a-3203-9d0d-dad895dc69a3,"Sodium percarbonate, powder, at plant",RER,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,pages-not-found,,,"expert, with report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,122
123,3b62ceeb-bbd2-35c6-b2e8-ea59f71d7690,Washing machine,CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123,123
124,3a8c93a3-f89e-30d6-8203-ee0ead9dbfff,"Window frame, aluminium, Hydro, Circal, Wicline 75evo, U=1.2W/m2K, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,124
125,74915c71-54fa-3aa1-b27b-c6d86c00acea,"Window frame, wood, opaquely painted, U=1.0 W/m2K, Baumgartner, wall opening, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,125
126,a525830f-1696-3c3d-9e5e-93419c206be6,"Window frame, wood-metal, opaquely painted, U=1.0 W/m2K, Baumgartner, wall opening, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,no-pdf,,,"expert, no report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126,126
127,1b7a81dc-1797-3c93-ae60-f239501da3c3,"Wood preservative, organic salt, Cr-free, at plant",RER,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,drafted,S3,0.06,rebuilt: expert revision,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,127
128,c3604814-e4ea-34f4-b598-79591fbf1483,"xx Layered sodium silicate, SKS-6, powder, at plant",RER,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,pages-not-found,,,"expert, with report",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,128
129,ddefdbda-3a45-39fc-84ad-17c4c7bdc3f9,"xx Packaging glass, brown, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,pages-not-found,S2,1.04,rebuilt: review and adopt,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,129
130,a66b5e9d-fce8-3d9d-afc4-8c422a9b9410,"xx Packaging glass, brown, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,pages-not-found,S3,0.93,rebuilt: review and adopt,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,130
131,b3da2a0c-5179-317d-8f16-84285a50248f,"xx Packaging glass, green, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,pages-not-found,S2,1.31,rebuilt: expert revision,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,131
132,fdbb581d-5d5c-31e2-ab83-aaa51229114d,"xx Packaging glass, green, at regional storage",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,pages-not-found,S3,1.06,rebuilt: review and adopt,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,132
133,22f39631-187e-3cce-b067-be74006bb52a,"xx Packaging glass, white, at plant",CH,flag,0.0,0.0,Climate change,0.0,0,0.0,0,0,0,drafted,S2,1.25,rebuilt: expert revision,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,133
